City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,hobart,-42.8794,147.3294,12.37,68,75,5.66,AU,1670271304
116,road town,18.4167,-64.6167,27.05,74,40,5.14,VG,1670270890
117,kahului,20.8947,-156.47,27.01,64,0,4.12,US,1670270702
118,kaitangata,-46.2817,169.8464,8.02,94,100,3.15,NZ,1670270834
119,smithers,54.7804,-127.1743,-8.35,88,58,0.75,CA,1670270983
120,punta arenas,-53.15,-70.9167,10.06,43,75,9.26,CL,1670271290
121,hay river,60.8156,-115.7999,-27.79,96,100,4.74,CA,1670270922
122,jumla,29.2747,82.1838,3.6,25,0,2.44,NP,1670271064
123,ponta do sol,32.6667,-17.1,19.28,75,99,2.02,PT,1670270942
124,mount isa,-20.7333,139.5,17.87,59,0,0.51,AU,1670270897
125,timmins,48.4669,-81.3331,-2.79,84,100,0.99,CA,1670271163
126,walvis bay,-22.9575,14.5053,15.61,74,0,7.69,NA,1670270953
127,kavieng,-2.5744,150.7967,26.88,79,99,2.2,PG,1670270865
128,mudgee,-32.5943,149.5871,15.44,77,16,1.22,AU,1670271417
129,kollam,8.8833,76.6,25.48,78,100,2.69,IN,1670271418
130,wanxian,30.8039,108.3897,8.47,77,99,1.22,CN,1670271418
131,vila velha,-20.3297,-40.2925,25.97,80,20,6.17,BR,1670270819
132,ilulissat,69.2167,-51.1,4.01,48,75,2.57,GL,1670270981
133,xai-xai,-25.0519,33.6442,23.07,90,100,8.66,MZ,1670271419
134,shelburne,44.0787,-80.2041,3.96,53,100,6.69,CA,1670271152
135,sesheke,-17.4759,24.2968,27.36,34,86,2.74,ZM,1670271420
136,laguna de perlas,12.3429,-83.6712,24.05,72,9,5.4,NI,1670271420
137,port hardy,50.6996,-127.4199,1.1,100,100,2.06,CA,1670271011
138,santa rosa,14.3122,121.1114,26.17,92,99,3.05,PH,1670271049
139,sur,22.5667,59.5289,23.06,62,0,1.24,OM,1670271031
140,isangel,-19.55,169.2667,27.83,74,44,1.63,VU,1670271026
141,cape town,-33.9258,18.4232,17.97,64,85,3.13,ZA,1670270878
142,kavaratti,10.5669,72.642,27.72,73,31,1.39,IN,1670270898
143,vardo,70.3705,31.1107,-3.01,80,100,5.66,NO,1670271422
144,dombarovskiy,50.7587,59.5386,-14.27,95,95,3.51,RU,1670271423
145,sitka,57.0531,-135.33,4.94,75,100,3.09,US,1670270997
146,qui nhon,13.7667,109.2333,25.06,88,100,8.97,VN,1670271423
147,chokurdakh,70.6333,147.9167,-36.98,98,47,3.69,RU,1670270891
148,ha giang,22.8333,104.9833,15.21,90,91,0.26,VN,1670271424
149,tuburan,6.6439,122.2736,27.28,78,100,1.13,PH,1670271425
150,vostok,46.4856,135.8833,-21.77,98,49,2.63,RU,1670271041
151,carnarvon,-24.8667,113.6333,20.55,77,58,7.46,AU,1670270828
152,bud,39.447,-86.1758,7.64,64,100,2.96,US,1670271426
153,burdur,37.7203,30.2908,3.39,93,0,1.54,TR,1670271426
154,castro,-24.7911,-50.0119,23.54,78,58,2.86,BR,1670271427
155,snasa,64.2457,12.3778,2.67,97,98,3.64,NO,1670271427
156,royan,45.6285,-1.0281,3.79,82,28,4.86,FR,1670271383
157,dingle,10.9995,122.6711,23.33,93,45,3.35,PH,1670270889
158,taoudenni,22.6783,-3.9836,27.93,15,29,0.85,ML,1670270869
159,puerto escondido,15.85,-97.0667,30.46,54,0,3.09,MX,1670270929
160,yeppoon,-23.1333,150.7333,20.88,82,0,1.6,AU,1670271429
161,thompson,55.7435,-97.8558,-24.25,86,50,3.44,CA,1670270727
162,olafsvik,64.8945,-23.7142,4.25,78,21,2.26,IS,1670270960
163,auki,-8.7676,160.7034,25.61,84,97,1.75,SB,1670271087
164,la baneza,42.3003,-5.8977,6.89,92,100,2.06,ES,1670271430
165,fairfield,41.2668,-73.3162,8.43,47,0,4.12,US,1670271378
166,duiwelskloof,-23.6934,30.14,20.09,84,100,2.34,ZA,1670271431
167,anadyr,64.75,177.4833,-2.72,92,100,18.0,RU,1670271025
168,cidreira,-30.1811,-50.2056,23.03,84,95,4.79,BR,1670271432
169,lac-megantic,45.5834,-70.8823,3.09,56,57,3.37,CA,1670271432
170,cauquenes,-35.9671,-72.3225,28.36,17,0,7.75,CL,1670271433
171,san cristobal,7.7669,-72.225,23.68,72,68,1.65,VE,1670270954
172,kamogawa,35.1,140.1,6.19,93,100,7.04,JP,1670271434
173,tanete,-3.9443,119.7848,23.08,95,100,0.91,ID,1670271434
174,los andes,-32.8337,-70.5983,31.12,23,4,4.99,CL,1670271435
175,kysyl-syr,63.8986,122.7617,-25.26,98,100,1.85,RU,1670270860
176,paris,48.8534,2.3488,3.76,91,100,2.06,FR,1670270823
177,moron,-34.6534,-58.6198,36.64,44,0,4.6,AR,1670271210
178,gao,16.6362,1.637,28.16,17,92,4.62,ML,1670271436
179,hithadhoo,-0.6,73.0833,27.43,76,100,3.56,MV,1670270826
180,jaguaruna,-28.615,-49.0256,23.01,95,99,3.83,BR,1670271347
181,avarua,-21.2078,-159.775,23.03,94,20,2.57,CK,1670270857
182,evensk,61.95,159.2333,-14.48,92,100,3.34,RU,1670271139
183,bethel,41.3712,-73.414,8.34,43,0,4.12,US,1670270847
184,comodoro rivadavia,-45.8667,-67.5,23.92,29,0,11.83,AR,1670270862
185,stefanesti,44.8667,24.9333,4.15,96,100,1.51,RO,1670271437
186,kyshtovka,56.555,76.6271,-22.2,100,92,1.45,RU,1670271438
187,storm lake,42.6411,-95.2097,0.12,64,40,7.72,US,1670271439
188,cutro,39.0353,16.9819,11.47,82,60,1.85,IT,1670271439
189,saldanha,-33.0117,17.9442,16.56,76,99,6.35,ZA,1670270890
190,rach gia,10.0167,105.0833,24.43,93,100,4.08,VN,1670271440
191,chaupal,30.95,77.5833,3.07,46,47,1.84,IN,1670271440
192,camargo,27.6667,-105.1667,27.86,23,71,4.36,MX,1670271441
193,norrtalje,59.758,18.705,1.12,83,72,1.99,SE,1670271442
194,grootfontein,-19.5667,18.1167,25.73,26,6,4.2,NA,1670271442
195,chatham,51.3789,0.5279,7.67,72,97,2.24,GB,1670271443
196,axim,4.8699,-2.2405,26.44,84,50,3.45,GH,1670271002
197,lazaro cardenas,17.9583,-102.2,28.85,66,0,3.68,MX,1670271208
198,mantua,45.1667,10.7833,9.97,91,94,2.24,IT,1670271444
199,moindou,-21.6924,165.677,25.27,87,100,1.96,NC,1670271444
200,clyde river,70.4692,-68.5914,-10.87,100,100,1.03,CA,1670270864
201,leningradskiy,69.3833,178.4167,-26.15,91,4,1.67,RU,1670270862
202,dharchula,29.85,80.5333,10.55,20,0,3.74,IN,1670271445
203,nishihara,26.1842,127.7558,18.6,91,100,11.83,JP,1670271043
204,caravelas,-17.7125,-39.2481,24.56,77,100,3.62,BR,1670271446
205,innisfail,-17.5333,146.0333,21.34,75,0,1.95,AU,1670271341
206,tabuk,17.4189,121.4443,22.57,94,100,1.74,PH,1670271447
207,great falls,47.5002,-111.3008,-4.21,88,0,0.0,US,1670271447
208,bredasdorp,-34.5322,20.0403,15.44,66,100,0.52,ZA,1670271448
209,alwar,27.5667,76.6,14.37,35,0,1.72,IN,1670271449
210,diego de almagro,-26.3667,-70.05,27.55,21,0,6.15,CL,1670271449
211,kinsale,51.7075,-8.5306,5.65,93,75,8.23,IE,1670271450
212,cayenne,4.9333,-52.3333,28.02,74,80,4.12,GF,1670271205
213,copiapo,-27.3667,-70.3333,17.83,34,0,4.52,CL,1670271130
214,bowen,-20.0167,148.2333,24.53,69,0,1.48,AU,1670270932
215,coahuayana,18.7333,-103.6833,31.18,57,0,3.05,MX,1670271175
